Old URL,Expected New URL,Actual Behavior,Status,Category
"/recipes/running-tasks/reduce-repetitive-configuration","/docs/recipes/running-tasks/reduce-repetitive-configuration","Stays at /recipes/running-tasks/reduce-repetitive-configuration","No Redirect","🔴 No Redirect"
"/recipes/running-tasks/change-cache-location","/docs/recipes/running-tasks/change-cache-location","Stays at /recipes/running-tasks/change-cache-location","No Redirect","🔴 No Redirect"
"/recipes/running-tasks/skipping-cache","/docs/recipes/running-tasks/skipping-cache","Stays at /recipes/running-tasks/skipping-cache","No Redirect","🔴 No Redirect"
"/recipes/running-tasks/convert-to-inferred","/docs/recipes/running-tasks/convert-to-inferred","Stays at /recipes/running-tasks/convert-to-inferred","No Redirect","🔴 No Redirect"
"/recipes/running-tasks/self-hosted-caching","/docs/recipes/running-tasks/self-hosted-caching","Stays at /recipes/running-tasks/self-hosted-caching","No Redirect","🔴 No Redirect"
"/recipes/adopting-nx","/docs/recipes/adopting-nx","Stays at /recipes/adopting-nx","No Redirect","🔴 No Redirect"
"/recipes/adopting-nx/adding-to-monorepo","/docs/recipes/adopting-nx/adding-to-monorepo","Stays at /recipes/adopting-nx/adding-to-monorepo","No Redirect","🔴 No Redirect"
"/recipes/adopting-nx/from-turborepo","/docs/recipes/adopting-nx/from-turborepo","Stays at /recipes/adopting-nx/from-turborepo","No Redirect","🔴 No Redirect"
"/recipes/adopting-nx/adding-to-existing-project","/docs/recipes/adopting-nx/adding-to-existing-project","Stays at /recipes/adopting-nx/adding-to-existing-project","No Redirect","🔴 No Redirect"
"/recipes/adopting-nx/import-project","/docs/recipes/adopting-nx/import-project","Stays at /recipes/adopting-nx/import-project","No Redirect","🔴 No Redirect"
"/recipes/adopting-nx/preserving-git-histories","/docs/recipes/adopting-nx/preserving-git-histories","Stays at /recipes/adopting-nx/preserving-git-histories","No Redirect","🔴 No Redirect"
"/recipes/adopting-nx/manual","/docs/recipes/adopting-nx/manual","Stays at /recipes/adopting-nx/manual","No Redirect","🔴 No Redirect"
"/recipes/nx-release","/docs/recipes/nx-release","Stays at /recipes/nx-release","No Redirect","🔴 No Redirect"
"/recipes/nx-release/release-npm-packages","/docs/recipes/nx-release/release-npm-packages","Stays at /recipes/nx-release/release-npm-packages","No Redirect","🔴 No Redirect"
"/recipes/nx-release/release-docker-images","/docs/recipes/nx-release/release-docker-images","Stays at /recipes/nx-release/release-docker-images","No Redirect","🔴 No Redirect"
"/recipes/nx-release/publish-rust-crates","/docs/recipes/nx-release/publish-rust-crates","Stays at /recipes/nx-release/publish-rust-crates","No Redirect","🔴 No Redirect"
"/recipes/nx-release/release-projects-independently","/docs/recipes/nx-release/release-projects-independently","Stays at /recipes/nx-release/release-projects-independently","No Redirect","🔴 No Redirect"
"/recipes/nx-release/updating-version-references","/docs/recipes/nx-release/updating-version-references","Stays at /recipes/nx-release/updating-version-references","No Redirect","🔴 No Redirect"
"/recipes/nx-release/automatically-version-with-conventional-commits","/docs/recipes/nx-release/automatically-version-with-conventional-commits","Stays at /recipes/nx-release/automatically-version-with-conventional-commits","No Redirect","🔴 No Redirect"
"/recipes/nx-release/customize-conventional-commit-types","/docs/recipes/nx-release/customize-conventional-commit-types","Stays at /recipes/nx-release/customize-conventional-commit-types","No Redirect","🔴 No Redirect"
"/recipes/nx-release/file-based-versioning-version-plans","/docs/recipes/nx-release/file-based-versioning-version-plans","Stays at /recipes/nx-release/file-based-versioning-version-plans","No Redirect","🔴 No Redirect"
"/recipes/nx-release/configure-custom-registries","/docs/recipes/nx-release/configure-custom-registries","Stays at /recipes/nx-release/configure-custom-registries","No Redirect","🔴 No Redirect"
"/recipes/nx-release/publish-in-ci-cd","/docs/recipes/nx-release/publish-in-ci-cd","Stays at /recipes/nx-release/publish-in-ci-cd","No Redirect","🔴 No Redirect"
"/recipes/nx-release/automate-github-releases","/docs/recipes/nx-release/automate-github-releases","Stays at /recipes/nx-release/automate-github-releases","No Redirect","🔴 No Redirect"
"/recipes/nx-release/automate-gitlab-releases","/docs/recipes/nx-release/automate-gitlab-releases","Stays at /recipes/nx-release/automate-gitlab-releases","No Redirect","🔴 No Redirect"
"/recipes/nx-release/update-local-registry-setup","/docs/recipes/nx-release/update-local-registry-setup","Stays at /recipes/nx-release/update-local-registry-setup","No Redirect","🔴 No Redirect"
"/recipes/nx-release/configure-changelog-format","/docs/recipes/nx-release/configure-changelog-format","Stays at /recipes/nx-release/configure-changelog-format","No Redirect","🔴 No Redirect"
"/recipes/nx-release/build-before-versioning","/docs/recipes/nx-release/build-before-versioning","Stays at /recipes/nx-release/build-before-versioning","No Redirect","🔴 No Redirect"
"/recipes/nx-release/configuration-version-prefix","/docs/recipes/nx-release/configuration-version-prefix","Stays at /recipes/nx-release/configuration-version-prefix","No Redirect","🔴 No Redirect"
"/recipes/nx-console","/docs/recipes/nx-console","Stays at /recipes/nx-console","No Redirect","🔴 No Redirect"
"/recipes/nx-console/console-telemetry","/docs/recipes/nx-console/console-telemetry","Stays at /recipes/nx-console/console-telemetry","No Redirect","🔴 No Redirect"
"/recipes/nx-console/console-project-details","/docs/recipes/nx-console/console-project-details","Stays at /recipes/nx-console/console-project-details","No Redirect","🔴 No Redirect"
"/recipes/nx-console/console-generate-command","/docs/recipes/nx-console/console-generate-command","Stays at /recipes/nx-console/console-generate-command","No Redirect","🔴 No Redirect"
"/recipes/nx-console/console-run-command","/docs/recipes/nx-console/console-run-command","Stays at /recipes/nx-console/console-run-command","No Redirect","🔴 No Redirect"
"/recipes/nx-console/console-nx-cloud","/docs/recipes/nx-console/console-nx-cloud","Stays at /recipes/nx-console/console-nx-cloud","No Redirect","🔴 No Redirect"
"/recipes/nx-console/console-migrate-ui","/docs/recipes/nx-console/console-migrate-ui","Stays at /recipes/nx-console/console-migrate-ui","No Redirect","🔴 No Redirect"
"/recipes/nx-console/console-troubleshooting","/docs/recipes/nx-console/console-troubleshooting","Stays at /recipes/nx-console/console-troubleshooting","No Redirect","🔴 No Redirect"
"/recipes/enforce-module-boundaries","/docs/recipes/enforce-module-boundaries","Stays at /recipes/enforce-module-boundaries","No Redirect","🔴 No Redirect"
"/recipes/enforce-module-boundaries/ban-dependencies-with-tags","/docs/recipes/enforce-module-boundaries/ban-dependencies-with-tags","Stays at /recipes/enforce-module-boundaries/ban-dependencies-with-tags","No Redirect","🔴 No Redirect"
"/recipes/enforce-module-boundaries/tag-multiple-dimensions","/docs/recipes/enforce-module-boundaries/tag-multiple-dimensions","Stays at /recipes/enforce-module-boundaries/tag-multiple-dimensions","No Redirect","🔴 No Redirect"
"/recipes/enforce-module-boundaries/ban-external-imports","/docs/recipes/enforce-module-boundaries/ban-external-imports","Stays at /recipes/enforce-module-boundaries/ban-external-imports","No Redirect","🔴 No Redirect"
"/recipes/enforce-module-boundaries/tags-allow-list","/docs/recipes/enforce-module-boundaries/tags-allow-list","Stays at /recipes/enforce-module-boundaries/tags-allow-list","No Redirect","🔴 No Redirect"
"/recipes/tips-n-tricks","/docs/recipes/tips-n-tricks","Stays at /recipes/tips-n-tricks","No Redirect","🔴 No Redirect"
"/recipes/tips-n-tricks/standalone-to-monorepo","/docs/recipes/tips-n-tricks/standalone-to-monorepo","Stays at /recipes/tips-n-tricks/standalone-to-monorepo","No Redirect","🔴 No Redirect"
"/recipes/tips-n-tricks/keep-nx-versions-in-sync","/docs/recipes/tips-n-tricks/keep-nx-versions-in-sync","Stays at /recipes/tips-n-tricks/keep-nx-versions-in-sync","No Redirect","🔴 No Redirect"
"/recipes/tips-n-tricks/define-environment-variables","/docs/recipes/tips-n-tricks/define-environment-variables","Stays at /recipes/tips-n-tricks/define-environment-variables","No Redirect","🔴 No Redirect"
"/recipes/tips-n-tricks/browser-support","/docs/recipes/tips-n-tricks/browser-support","Stays at /recipes/tips-n-tricks/browser-support","No Redirect","🔴 No Redirect"
"/recipes/tips-n-tricks/include-assets-in-build","/docs/recipes/tips-n-tricks/include-assets-in-build","Stays at /recipes/tips-n-tricks/include-assets-in-build","No Redirect","🔴 No Redirect"
"/recipes/tips-n-tricks/include-all-packagejson","/docs/recipes/tips-n-tricks/include-all-packagejson","Stays at /recipes/tips-n-tricks/include-all-packagejson","No Redirect","🔴 No Redirect"
"/recipes/tips-n-tricks/identify-dependencies-between-folders","/docs/recipes/tips-n-tricks/identify-dependencies-between-folders","Stays at /recipes/tips-n-tricks/identify-dependencies-between-folders","No Redirect","🔴 No Redirect"
"/recipes/tips-n-tricks/analyze-source-files","/docs/recipes/tips-n-tricks/analyze-source-files","Stays at /recipes/tips-n-tricks/analyze-source-files","No Redirect","🔴 No Redirect"
"/recipes/tips-n-tricks/advanced-update","/docs/recipes/tips-n-tricks/advanced-update","Stays at /recipes/tips-n-tricks/advanced-update","No Redirect","🔴 No Redirect"
"/recipes/tips-n-tricks/yarn-pnp","/docs/recipes/tips-n-tricks/yarn-pnp","Stays at /recipes/tips-n-tricks/yarn-pnp","No Redirect","🔴 No Redirect"
"/concepts","/docs/concepts","Stays at /concepts","No Redirect","🔴 No Redirect"
"/concepts/mental-model","/docs/concepts/mental-model","Stays at /concepts/mental-model","No Redirect","🔴 No Redirect"
"/concepts/how-caching-works","/docs/concepts/how-caching-works","Stays at /concepts/how-caching-works","No Redirect","🔴 No Redirect"
"/concepts/task-pipeline-configuration","/docs/concepts/task-pipeline-configuration","Stays at /concepts/task-pipeline-configuration","No Redirect","🔴 No Redirect"
"/concepts/nx-plugins","/docs/concepts/nx-plugins","Stays at /concepts/nx-plugins","No Redirect","🔴 No Redirect"
"/concepts/inferred-tasks","/docs/concepts/inferred-tasks","Stays at /concepts/inferred-tasks","No Redirect","🔴 No Redirect"
"/concepts/types-of-configuration","/docs/concepts/types-of-configuration","Stays at /concepts/types-of-configuration","No Redirect","🔴 No Redirect"
"/concepts/executors-and-configurations","/docs/concepts/executors-and-configurations","Stays at /concepts/executors-and-configurations","No Redirect","🔴 No Redirect"
"/concepts/common-tasks","/docs/concepts/common-tasks","Stays at /concepts/common-tasks","No Redirect","🔴 No Redirect"
"/concepts/nx-daemon","/docs/concepts/nx-daemon","Stays at /concepts/nx-daemon","No Redirect","🔴 No Redirect"
"/concepts/sync-generators","/docs/concepts/sync-generators","Stays at /concepts/sync-generators","No Redirect","🔴 No Redirect"
"/concepts/typescript-project-linking","/docs/concepts/typescript-project-linking","Stays at /concepts/typescript-project-linking","No Redirect","🔴 No Redirect"
"/concepts/buildable-and-publishable-libraries","/docs/concepts/buildable-and-publishable-libraries","Stays at /concepts/buildable-and-publishable-libraries","No Redirect","🔴 No Redirect"
"/concepts/decisions","/docs/concepts/decisions","Stays at /concepts/decisions","No Redirect","🔴 No Redirect"
"/concepts/decisions/overview","/docs/concepts/decisions/overview","Stays at /concepts/decisions/overview","No Redirect","🔴 No Redirect"
"/concepts/decisions/why-monorepos","/docs/concepts/decisions/why-monorepos","Stays at /concepts/decisions/why-monorepos","No Redirect","🔴 No Redirect"
"/concepts/decisions/dependency-management","/docs/concepts/decisions/dependency-management","Stays at /concepts/decisions/dependency-management","No Redirect","🔴 No Redirect"
"/concepts/decisions/code-ownership","/docs/concepts/decisions/code-ownership","Stays at /concepts/decisions/code-ownership","No Redirect","🔴 No Redirect"
"/concepts/decisions/project-size","/docs/concepts/decisions/project-size","Stays at /concepts/decisions/project-size","No Redirect","🔴 No Redirect"
"/concepts/decisions/project-dependency-rules","/docs/concepts/decisions/project-dependency-rules","Stays at /concepts/decisions/project-dependency-rules","No Redirect","🔴 No Redirect"
"/concepts/decisions/folder-structure","/docs/concepts/decisions/folder-structure","Stays at /concepts/decisions/folder-structure","No Redirect","🔴 No Redirect"
"/technologies","/docs/technologies","Stays at /technologies","No Redirect","🔴 No Redirect"
"/technologies/typescript","/docs/technologies/typescript","Stays at /technologies/typescript","No Redirect","🔴 No Redirect"
"/technologies/typescript/introduction","/docs/technologies/typescript/introduction","Stays at /technologies/typescript/introduction","No Redirect","🔴 No Redirect"
"/technologies/typescript/recipes","/docs/technologies/typescript/recipes","Stays at /technologies/typescript/recipes","No Redirect","🔴 No Redirect"
"/technologies/typescript/recipes/switch-to-workspaces-project-references","/docs/technologies/typescript/recipes/switch-to-workspaces-project-references","Stays at /technologies/typescript/recipes/switch-to-workspaces-project-references","No Redirect","🔴 No Redirect"
"/technologies/typescript/recipes/enable-tsc-batch-mode","/docs/technologies/typescript/recipes/enable-tsc-batch-mode","Stays at /technologies/typescript/recipes/enable-tsc-batch-mode","No Redirect","🔴 No Redirect"
"/technologies/typescript/recipes/define-secondary-entrypoints","/docs/technologies/typescript/recipes/define-secondary-entrypoints","Stays at /technologies/typescript/recipes/define-secondary-entrypoints","No Redirect","🔴 No Redirect"
"/technologies/typescript/recipes/compile-multiple-formats","/docs/technologies/typescript/recipes/compile-multiple-formats","Stays at /technologies/typescript/recipes/compile-multiple-formats","No Redirect","🔴 No Redirect"
"/technologies/typescript/recipes/js-and-ts","/docs/technologies/typescript/recipes/js-and-ts","Stays at /technologies/typescript/recipes/js-and-ts","No Redirect","🔴 No Redirect"
"/technologies/typescript/api","/docs/technologies/typescript/api","Stays at /technologies/typescript/api","No Redirect","🔴 No Redirect"
"/technologies/angular","/docs/technologies/angular","Stays at /technologies/angular","No Redirect","🔴 No Redirect"
"/technologies/angular/introduction","/docs/technologies/angular/introduction","Stays at /technologies/angular/introduction","No Redirect","🔴 No Redirect"
"/technologies/angular/migration","/docs/technologies/angular/migration","Stays at /technologies/angular/migration","No Redirect","🔴 No Redirect"
"/technologies/angular/migration/angular","/docs/technologies/angular/migration/angular","Stays at /technologies/angular/migration/angular","No Redirect","🔴 No Redirect"
"/technologies/angular/migration/angular-multiple","/docs/technologies/angular/migration/angular-multiple","Stays at /technologies/angular/migration/angular-multiple","No Redirect","🔴 No Redirect"
"/technologies/angular/recipes","/docs/technologies/angular/recipes","Stays at /technologies/angular/recipes","No Redirect","🔴 No Redirect"
"/technologies/angular/recipes/use-environment-variables-in-angular","/docs/technologies/angular/recipes/use-environment-variables-in-angular","Stays at /technologies/angular/recipes/use-environment-variables-in-angular","No Redirect","🔴 No Redirect"
"/technologies/angular/recipes/using-tailwind-css-with-angular-projects","/docs/technologies/angular/recipes/using-tailwind-css-with-angular-projects","Stays at /technologies/angular/recipes/using-tailwind-css-with-angular-projects","No Redirect","🔴 No Redirect"
"/technologies/angular/recipes/module-federation-with-ssr","/docs/technologies/angular/recipes/module-federation-with-ssr","Stays at /technologies/angular/recipes/module-federation-with-ssr","No Redirect","🔴 No Redirect"
"/technologies/angular/recipes/dynamic-module-federation-with-angular","/docs/technologies/angular/recipes/dynamic-module-federation-with-angular","Stays at /technologies/angular/recipes/dynamic-module-federation-with-angular","No Redirect","🔴 No Redirect"
"/technologies/angular/recipes/setup-incremental-builds-angular","/docs/technologies/angular/recipes/setup-incremental-builds-angular","Stays at /technologies/angular/recipes/setup-incremental-builds-angular","No Redirect","🔴 No Redirect"
"/technologies/angular/recipes/nx-and-angular","/docs/technologies/angular/recipes/nx-and-angular","Stays at /technologies/angular/recipes/nx-and-angular","No Redirect","🔴 No Redirect"
"/technologies/angular/recipes/nx-devkit-angular-devkit","/docs/technologies/angular/recipes/nx-devkit-angular-devkit","Stays at /technologies/angular/recipes/nx-devkit-angular-devkit","No Redirect","🔴 No Redirect"
"/technologies/angular/recipes/angular-nx-version-matrix","/docs/technologies/angular/recipes/angular-nx-version-matrix","Stays at /technologies/angular/recipes/angular-nx-version-matrix","No Redirect","🔴 No Redirect"
"/technologies/angular/api","/docs/technologies/angular/api","Stays at /technologies/angular/api","No Redirect","🔴 No Redirect"
"/technologies/angular/angular-rspack","/docs/technologies/angular/angular-rspack","Stays at /technologies/angular/angular-rspack","No Redirect","🔴 No Redirect"
"/technologies/angular/angular-rspack/introduction","/docs/technologies/angular/angular-rspack/introduction","Stays at /technologies/angular/angular-rspack/introduction","No Redirect","🔴 No Redirect"
"/technologies/angular/angular-rspack/recipes","/docs/technologies/angular/angular-rspack/recipes","Stays at /technologies/angular/angular-rspack/recipes","No Redirect","🔴 No Redirect"
"/technologies/angular/angular-rspack/recipes/getting-started","/docs/technologies/angular/angular-rspack/recipes/getting-started","Stays at /technologies/angular/angular-rspack/recipes/getting-started","No Redirect","🔴 No Redirect"
"/technologies/angular/angular-rspack/recipes/migrate-from-webpack","/docs/technologies/angular/angular-rspack/recipes/migrate-from-webpack","Stays at /technologies/angular/angular-rspack/recipes/migrate-from-webpack","No Redirect","🔴 No Redirect"
"/technologies/angular/angular-rspack/recipes/handling-configurations","/docs/technologies/angular/angular-rspack/recipes/handling-configurations","Stays at /technologies/angular/angular-rspack/recipes/handling-configurations","No Redirect","🔴 No Redirect"
"/technologies/angular/angular-rspack/recipes/internationalization","/docs/technologies/angular/angular-rspack/recipes/internationalization","Stays at /technologies/angular/angular-rspack/recipes/internationalization","No Redirect","🔴 No Redirect"
"/technologies/angular/angular-rspack/api","/docs/technologies/angular/angular-rspack/api","Stays at /technologies/angular/angular-rspack/api","No Redirect","🔴 No Redirect"
"/technologies/angular/angular-rspack/api/create-config","/docs/technologies/angular/angular-rspack/api/create-config","Stays at /technologies/angular/angular-rspack/api/create-config","No Redirect","🔴 No Redirect"
"/technologies/angular/angular-rspack/api/create-server","/docs/technologies/angular/angular-rspack/api/create-server","Stays at /technologies/angular/angular-rspack/api/create-server","No Redirect","🔴 No Redirect"
"/technologies/angular/angular-rsbuild","/docs/technologies/angular/angular-rsbuild","Stays at /technologies/angular/angular-rsbuild","No Redirect","🔴 No Redirect"
"/technologies/angular/angular-rsbuild/api","/docs/technologies/angular/angular-rsbuild/api","Stays at /technologies/angular/angular-rsbuild/api","No Redirect","🔴 No Redirect"
"/technologies/angular/angular-rsbuild/api/create-config","/docs/technologies/angular/angular-rsbuild/api/create-config","Stays at /technologies/angular/angular-rsbuild/api/create-config","No Redirect","🔴 No Redirect"
"/technologies/angular/angular-rsbuild/api/create-server","/docs/technologies/angular/angular-rsbuild/api/create-server","Stays at /technologies/angular/angular-rsbuild/api/create-server","No Redirect","🔴 No Redirect"
"/technologies/react","/docs/technologies/react","Stays at /technologies/react","No Redirect","🔴 No Redirect"
"/technologies/react/introduction","/docs/technologies/react/introduction","Stays at /technologies/react/introduction","No Redirect","🔴 No Redirect"
"/technologies/react/recipes","/docs/technologies/react/recipes","Stays at /technologies/react/recipes","No Redirect","🔴 No Redirect"
"/technologies/react/recipes/react-native","/docs/technologies/react/recipes/react-native","Stays at /technologies/react/recipes/react-native","No Redirect","🔴 No Redirect"
"/technologies/react/recipes/remix","/docs/technologies/react/recipes/remix","Stays at /technologies/react/recipes/remix","No Redirect","🔴 No Redirect"
"/technologies/react/recipes/react-router","/docs/technologies/react/recipes/react-router","Stays at /technologies/react/recipes/react-router","No Redirect","🔴 No Redirect"
"/technologies/react/recipes/use-environment-variables-in-react","/docs/technologies/react/recipes/use-environment-variables-in-react","Stays at /technologies/react/recipes/use-environment-variables-in-react","No Redirect","🔴 No Redirect"
"/technologies/react/recipes/using-tailwind-css-in-react","/docs/technologies/react/recipes/using-tailwind-css-in-react","Stays at /technologies/react/recipes/using-tailwind-css-in-react","No Redirect","🔴 No Redirect"
"/technologies/react/recipes/adding-assets-react","/docs/technologies/react/recipes/adding-assets-react","Stays at /technologies/react/recipes/adding-assets-react","No Redirect","🔴 No Redirect"
"/technologies/react/recipes/module-federation-with-ssr","/docs/technologies/react/recipes/module-federation-with-ssr","Stays at /technologies/react/recipes/module-federation-with-ssr","No Redirect","🔴 No Redirect"
"/technologies/react/recipes/deploy-nextjs-to-vercel","/docs/technologies/react/recipes/deploy-nextjs-to-vercel","Stays at /technologies/react/recipes/deploy-nextjs-to-vercel","No Redirect","🔴 No Redirect"
"/technologies/react/recipes/react-compiler","/docs/technologies/react/recipes/react-compiler","Stays at /technologies/react/recipes/react-compiler","No Redirect","🔴 No Redirect"
"/technologies/react/api","/docs/technologies/react/api","Stays at /technologies/react/api","No Redirect","🔴 No Redirect"
"/technologies/react/next","/docs/technologies/react/next","Stays at /technologies/react/next","No Redirect","🔴 No Redirect"
"/technologies/react/next/introduction","/docs/technologies/react/next/introduction","Stays at /technologies/react/next/introduction","No Redirect","🔴 No Redirect"
"/technologies/react/next/recipes","/docs/technologies/react/next/recipes","Stays at /technologies/react/next/recipes","No Redirect","🔴 No Redirect"
"/technologies/react/next/recipes/next-config-setup","/docs/technologies/react/next/recipes/next-config-setup","Stays at /technologies/react/next/recipes/next-config-setup","No Redirect","🔴 No Redirect"
"/technologies/react/next/api","/docs/technologies/react/next/api","Stays at /technologies/react/next/api","No Redirect","🔴 No Redirect"
"/technologies/react/remix","/docs/technologies/react/remix","Stays at /technologies/react/remix","No Redirect","🔴 No Redirect"
"/technologies/react/remix/introduction","/docs/technologies/react/remix/introduction","Stays at /technologies/react/remix/introduction","No Redirect","🔴 No Redirect"
"/technologies/react/remix/recipes","/docs/technologies/react/remix/recipes","Stays at /technologies/react/remix/recipes","No Redirect","🔴 No Redirect"
"/technologies/react/remix/api","/docs/technologies/react/remix/api","Stays at /technologies/react/remix/api","No Redirect","🔴 No Redirect"
"/technologies/react/react-native","/docs/technologies/react/react-native","Stays at /technologies/react/react-native","No Redirect","🔴 No Redirect"
"/technologies/react/react-native/introduction","/docs/technologies/react/react-native/introduction","Stays at /technologies/react/react-native/introduction","No Redirect","🔴 No Redirect"
"/technologies/react/react-native/recipes","/docs/technologies/react/react-native/recipes","Stays at /technologies/react/react-native/recipes","No Redirect","🔴 No Redirect"
"/technologies/react/react-native/api","/docs/technologies/react/react-native/api","Stays at /technologies/react/react-native/api","No Redirect","🔴 No Redirect"
"/technologies/react/expo","/docs/technologies/react/expo","Stays at /technologies/react/expo","No Redirect","🔴 No Redirect"
"/technologies/react/expo/introduction","/docs/technologies/react/expo/introduction","Stays at /technologies/react/expo/introduction","No Redirect","🔴 No Redirect"
"/technologies/react/expo/recipes","/docs/technologies/react/expo/recipes","Stays at /technologies/react/expo/recipes","No Redirect","🔴 No Redirect"
"/technologies/react/expo/api","/docs/technologies/react/expo/api","Stays at /technologies/react/expo/api","No Redirect","🔴 No Redirect"
"/technologies/vue","/docs/technologies/vue","Stays at /technologies/vue","No Redirect","🔴 No Redirect"
"/technologies/vue/introduction","/docs/technologies/vue/introduction","Stays at /technologies/vue/introduction","No Redirect","🔴 No Redirect"
"/technologies/vue/api","/docs/technologies/vue/api","Stays at /technologies/vue/api","No Redirect","🔴 No Redirect"
"/technologies/vue/nuxt","/docs/technologies/vue/nuxt","Stays at /technologies/vue/nuxt","No Redirect","🔴 No Redirect"
"/technologies/vue/nuxt/introduction","/docs/technologies/vue/nuxt/introduction","Stays at /technologies/vue/nuxt/introduction","No Redirect","🔴 No Redirect"
"/technologies/vue/nuxt/recipes","/docs/technologies/vue/nuxt/recipes","Stays at /technologies/vue/nuxt/recipes","No Redirect","🔴 No Redirect"
"/technologies/vue/nuxt/recipes/deploy-nuxt-to-vercel","/docs/technologies/vue/nuxt/recipes/deploy-nuxt-to-vercel","Stays at /technologies/vue/nuxt/recipes/deploy-nuxt-to-vercel","No Redirect","🔴 No Redirect"
"/technologies/vue/nuxt/api","/docs/technologies/vue/nuxt/api","Stays at /technologies/vue/nuxt/api","No Redirect","🔴 No Redirect"
"/technologies/node","/docs/technologies/node","Stays at /technologies/node","No Redirect","🔴 No Redirect"
"/technologies/node/introduction","/docs/technologies/node/introduction","Stays at /technologies/node/introduction","No Redirect","🔴 No Redirect"
"/technologies/node/recipes","/docs/technologies/node/recipes","Stays at /technologies/node/recipes","No Redirect","🔴 No Redirect"
"/technologies/node/recipes/node-server-fly-io","/docs/technologies/node/recipes/node-server-fly-io","Stays at /technologies/node/recipes/node-server-fly-io","No Redirect","🔴 No Redirect"
"/technologies/node/recipes/node-serverless-functions-netlify","/docs/technologies/node/recipes/node-serverless-functions-netlify","Stays at /technologies/node/recipes/node-serverless-functions-netlify","No Redirect","🔴 No Redirect"
