keyword,cluster,also_in,volume,global_volume,difficulty,traffic_potential,parent_topic,intents,serp_top3_domains,nx_ranks,proposed_tags,source,vol_score,kd_score,serp_openness,strategic_fit,reachability,evidence_count,total_score,notes,tier
ubicloud,ci-competitors,,80,600,10,200,ubicloud,informational|branded,no_data,no_data,ci-competitors|branded,keywords-explorer-overview,2,2,1,3,0,0,8,Cheap-runner vendor. Global 600 vs US 80 - mostly non-US demand.,monitor
cirrus ci,ci-competitors,,60,150,14,10,cirrus ci,informational|commercial|branded,no_data,no_data,ci-competitors|branded,keywords-explorer-overview,2,2,1,3,0,0,8,TP 10. Effectively dead for acquisition purposes.,monitor
vite plus,cli-competitors,,150,1500,no_data,no_data,no_data,informational|commercial|branded,no_data,no,cli-competitors|branded,keywords-explorer-overview,2,1,1,3,0,0,7,150 US vol tracked Rank Tracker competitor; commercial intent,monitor
warpbuild,ci-competitors,,90,400,no_data,no_data,no_data,no_data,no_data,no_data,ci-competitors|branded,keywords-explorer-overview,2,1,1,3,0,0,7,No difficulty record. Vendor too small to justify a comparison page.,monitor
moonrepo,cli-competitors,,20,150,12,10,moonrepo,informational|navigational|branded,no_data,no,cli-competitors|branded,keywords-explorer-matching-terms,1,2,1,3,0,0,7,KD 12; active Rust-based challenger,monitor
depot vs blacksmith,ci-competitors,,20,50,no_data,no_data,no_data,no_data,no_data,no_data,ci-competitors|branded,keywords-explorer-overview,1,1,1,3,0,0,6,20 US vol. The category head-to-head barely gets searched.,monitor
depot pricing,ci-competitors,,20,50,no_data,no_data,no_data,no_data,no_data,no_data,ci-competitors|branded,keywords-explorer-overview,1,1,1,3,0,0,6,20 vol despite Depot being the category leader. Telling.,monitor
develocity pricing,ci-competitors,nx-cloud-features,10,10,no_data,no_data,no_data,no_data,no_data,no_data,ci-competitors|branded,keywords-explorer-overview,1,1,1,3,0,0,6,10 vol. Enterprise deals do not start with a Google search.,monitor
turborepo pricing,cli-competitors,,10,30,no_data,no_data,no_data,no_data,no_data,no_data,cli-competitors|branded,keywords-explorer-overview,1,1,1,3,0,0,6,commercial intent vs Vercel Remote Cache paywall,monitor
buck2 vs bazel,cli-competitors,,10,10,no_data,no_data,no_data,no_data,no_data,no_data,cli-competitors|branded,keywords-explorer-overview,1,1,1,3,0,0,6,heavyweight-tier decision point,monitor
turborepo docs,cli-competitors,,20,50,51,40,turborepo monorepo,informational|navigational|branded,no_data,no,cli-competitors|branded,keywords-explorer-matching-terms,1,0,1,3,0,0,5,navigational; KD 51,monitor
wireit,cli-competitors,,0,500,no_data,no_data,no_data,informational|branded,no_data,no,cli-competitors|branded,keywords-explorer-overview,0,1,1,3,0,0,5,0 US / 500 global; Google lightweight task runner,monitor
